latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,frp,daynight,month,day
-35.733000000000004,136.816,335.7,1.0,1.0,2020-01-01,0.0,Terra,80,30.7,D,1,1
-35.732,136.805,400.6,1.0,1.0,2020-01-01,0.0,Terra,100,251.2,D,1,1
-35.73,136.79399999999998,348.8,1.0,1.0,2020-01-01,0.0,Terra,80,51.5,D,1,1
-35.727,136.77200000000002,362.6,1.0,1.0,2020-01-01,0.0,Terra,94,84.3,D,1,1
-35.725,136.761,352.5,1.0,1.0,2020-01-01,0.0,Terra,78,58.3,D,1,1
-35.723,136.80700000000002,369.7,1.0,1.0,2020-01-01,0.0,Terra,100,110.1,D,1,1
-35.721,136.796,351.5,1.0,1.0,2020-01-01,0.0,Terra,95,59.5,D,1,1
-35.719,136.785,359.0,1.0,1.0,2020-01-01,0.0,Terra,93,75.5,D,1,1
-35.77,141.33700000000002,411.8,1.3,1.1,2020-01-01,0.0,Terra,100,468.4,D,1,1
-35.768,141.322,351.3,1.3,1.1,2020-01-01,0.0,Terra,94,75.0,D,1,1
-35.76,141.338,347.4,1.3,1.1,2020-01-01,0.0,Terra,92,65.5,D,1,1
-35.937,147.518,323.9,3.1,1.7,2020-01-01,0.0,Terra,63,77.6,D,1,1
-35.895,147.58700000000002,328.5,3.2,1.7,2020-01-01,0.0,Terra,77,108.8,D,1,1
-35.94,147.524,323.0,3.1,1.7,2020-01-01,0.0,Terra,52,67.4,D,1,1
-35.883,147.593,330.3,3.2,1.7,2020-01-01,0.0,Terra,79,130.7,D,1,1
-35.635,148.218,331.3,3.4,1.7,2020-01-01,0.0,Terra,78,157.4,D,1,1
-35.62,148.221,327.4,3.4,1.7,2020-01-01,0.0,Terra,73,133.8,D,1,1
-35.626999999999995,148.225,334.6,3.4,1.7,2020-01-01,0.0,Terra,76,185.5,D,1,1
-35.624,148.185,328.1,3.4,1.7,2020-01-01,0.0,Terra,58,124.0,D,1,1
-35.19,150.475,329.3,4.7,2.0,2020-01-01,0.0,Terra,58,226.8,D,1,1
-35.193000000000005,150.48,327.4,4.7,2.0,2020-01-01,0.0,Terra,55,204.2,D,1,1
-34.004,142.274,327.1,1.4,1.2,2020-01-01,0.0,Terra,49,12.6,D,1,1
-33.964,142.203,329.0,1.4,1.2,2020-01-01,0.0,Terra,40,13.9,D,1,1
-33.954,142.205,333.7,1.4,1.2,2020-01-01,0.0,Terra,75,25.6,D,1,1
-34.264,149.961,320.7,4.3,1.9,2020-01-01,0.0,Terra,31,88.4,D,1,1
-34.264,149.967,320.6,4.3,1.9,2020-01-01,0.0,Terra,27,86.9,D,1,1
-33.912,150.459,323.3,4.6,2.0,2020-01-01,0.0,Terra,0,143.6,D,1,1
-33.914,150.464,327.0,4.6,2.0,2020-01-01,0.0,Terra,52,186.8,D,1,1
-33.825,150.066,327.6,4.4,1.9,2020-01-01,0.0,Terra,70,157.2,D,1,1
-33.825,150.07299999999998,328.5,4.4,1.9,2020-01-01,0.0,Terra,71,166.9,D,1,1
-32.016999999999996,135.796,335.0,1.1,1.1,2020-01-01,0.0,Terra,66,16.1,D,1,1
-32.008,135.798,333.4,1.1,1.1,2020-01-01,0.0,Terra,57,13.7,D,1,1
-31.113000000000003,132.741,326.3,1.7,1.3,2020-01-01,0.0,Terra,50,15.2,D,1,1
-31.101999999999997,132.731,326.4,1.7,1.3,2020-01-01,0.0,Terra,47,13.0,D,1,1
-29.24,128.041,323.1,3.8,1.8,2020-01-01,0.0,Terra,39,55.6,D,1,1
-29.066999999999997,128.27700000000002,329.8,3.7,1.8,2020-01-01,0.0,Terra,63,84.8,D,1,1
-29.051,128.282,330.8,3.7,1.8,2020-01-01,0.0,Terra,73,97.0,D,1,1
-29.041999999999998,128.245,326.5,3.7,1.8,2020-01-01,0.0,Terra,54,61.9,D,1,1
-29.026,128.249,327.1,3.7,1.8,2020-01-01,0.0,Terra,62,69.4,D,1,1
-29.061,128.285,338.9,3.7,1.8,2020-01-01,0.0,Terra,84,175.3,D,1,1
-29.035999999999998,128.252,341.4,3.7,1.8,2020-01-01,0.0,Terra,87,209.0,D,1,1
-28.949,128.789,324.5,3.4,1.7,2020-01-01,0.0,Terra,50,52.1,D,1,1
-28.941,128.754,326.4,3.5,1.8,2020-01-01,0.0,Terra,61,66.9,D,1,1
-28.948,128.75799999999998,324.9,3.5,1.8,2020-01-01,0.0,Terra,45,53.9,D,1,1
-28.737,128.87,324.7,3.4,1.7,2020-01-01,0.0,Terra,43,51.5,D,1,1
-28.467,128.502,333.3,3.7,1.8,2020-01-01,0.0,Terra,76,126.2,D,1,1
-28.458000000000002,128.465,338.1,3.7,1.8,2020-01-01,0.0,Terra,83,178.2,D,1,1
-28.461,128.511,330.5,3.7,1.8,2020-01-01,0.0,Terra,71,103.5,D,1,1
-28.453000000000003,128.474,347.9,3.7,1.8,2020-01-01,0.0,Terra,92,298.9,D,1,1
-28.447,129.445,336.4,3.2,1.7,2020-01-01,0.0,Terra,80,120.3,D,1,1
-28.451,129.451,332.5,3.2,1.7,2020-01-01,0.0,Terra,73,89.3,D,1,1
-28.444000000000003,129.418,326.5,3.2,1.7,2020-01-01,0.0,Terra,54,48.2,D,1,1
-27.921999999999997,128.45600000000002,328.7,3.8,1.8,2020-01-01,0.0,Terra,65,74.5,D,1,1
-27.912,128.417,326.9,3.9,1.8,2020-01-01,0.0,Terra,57,59.9,D,1,1
